metric_id,display_name,category,source,ticker,frequency,tags,normalization,direction,description
GDP_US,US GDP,Macro,FRED,GDP,Quarterly,gdp macro,growth_positive,+,Gross Domestic Product of the United States.
CPI_US,Consumer Price Index,Macro,FRED,CPIAUCSL,Monthly,inflation macro,zscore_rolling,+,Consumer Price Index for all urban consumers.
PPI_US,Producer Price Index,Macro,FRED,PPIACO,Monthly,prices inflation,zscore_rolling,+,Producer price index for all commodities.
UNRATE_US,Unemployment Rate,Labor,FRED,UNRATE,Monthly,labor employment,inverse_zscore,-,US civilian unemployment rate.
PAYROLLS_US,Nonfarm Payrolls,Labor,FRED,PAYEMS,Monthly,labor employment,growth_positive,+,Total nonfarm employment.
RET_SALES_US,Retails Sales,Macro,FRED,RSXFS,Monthly,consumption,growth_positive,+,US retail and food services sales.
INDPRO_US,Industrial Production,Macro,FRED,INDPRO,Monthly,production macro,zscore_rolling,+,Industrial production index.
M2_US,M2 Money Supply,Liquidity,FRED,M2SL,Weekly,money liquidity,zscore_rolling,+,M2 stock of money supply.
RRP_US,Reverse Repo Operations,Liquidity,FRED,RRPONTSYD,Daily,liquidity money,zscore_rolling,-,Reverse repurchase agreements.
TGA_US,Treasury General Account,Liquidity,FRED,TGACCT,Daily,treasury liquidity,zscore_rolling,-,US Treasury cash balance.
DGS2_US,2-Year Yield,Rates,FRED,DGS2,Daily,rates curve,zscore,+,2-year Treasury constant maturity rate.
DGS10_US,10-Year Yield,Rates,FRED,DGS10,Daily,rates curve,zscore,+,10-year Treasury constant maturity rate.
DGS30_US,30-Year Yield,Rates,FRED,DGS30,Daily,rates long,zscore,+,30-year Treasury constant maturity rate.
T10Y2Y_US,Yield Curve Spread,Rates,FRED,T10Y2Y,Daily,curve inversion,zscore,-,10-year minus 2-year yield spread.
BBB_SPREAD_US,BBB Corporate Spread,Credit,FRED,BAMLH0A3HYCEEW,Daily,credit spreads,inverse_zscore,-,BBB corporate bond yield spreads.
HY_SPREAD_US,High Yield Spread,Credit,FRED,BAMLH0A0HYM2,Daily,credit,inverse_zscore,-,High yield (junk) corporate spreads.
CPI_CORE_US,Core CPI,Macro,FRED,CPILFESL,Monthly,inflation core,zscore_rolling,+,Core CPI excluding food and energy.
PCE_US,Personal Consumption Expenditures,Macro,FRED,PCE,Monthly,pce consumption,zscore_rolling,+,Personal consumption expenditures.
VIX_US,VIX Volatility Index,Volatility,YAHOO,^VIX,Daily,volatility risk,zscore_rolling,+,CBOE VIX volatility index.
MOVE_US,Move Bond Volatility,Volatility,FRED,MOVE,Daily,vol bond,zscore_rolling,+,ICE MOVE index of Treasury volatility.
SPY_US,S&P 500 Index,Equities,YAHOO,SPY,Daily,us equities benchmark,zscore_rolling,+,S&P 500 ETF.
XLU_US,Utilities Sector,Equities,YAHOO,XLU,Daily,sectors defensives,zscore_rolling,+,Utilities Select Sector SPDR.
XLK_US,Technology Sector,Equities,YAHOO,XLK,Daily,sectors growth,zscore_rolling,+,Technology Select Sector SPDR.
XLF_US,Financials Sector,Equities,YAHOO,XLF,Daily,sectors financial,zscore_rolling,+,Financial Select Sector SPDR.
XLE_US,Energy Sector,Equities,YAHOO,XLE,Daily,sectors energy,zscore_rolling,+,Energy Select Sector SPDR.
XLI_US,Industrials Sector,Equities,YAHOO,XLI,Daily,sectors industrials,zscore_rolling,+,Industrial Select Sector SPDR.
XLP_US,Consumer Staples,Equities,YAHOO,XLP,Daily,sectors staples,zscore_rolling,+,Consumer Staples Select Sector SPDR.
XLY_US,Consumer Discretionary,Equities,YAHOO,XLY,Daily,sectors consumer,zscore_rolling,+,Consumer Discretionary Select Sector SPDR.
XLRE_US,Real Estate Sector,Equities,YAHOO,XLRE,Daily,sectors realestate,zscore_rolling,+,Real Estate Select Sector SPDR.
XLB_US,Materials Sector,Equities,YAHOO,XLB,Daily,sectors materials,zscore_rolling,+,Materials Select Sector SPDR.
XLV_US,Healthcare Sector,Equities,YAHOO,XLV,Daily,sectors healthcare,zscore_rolling,+,Healthcare Select Sector SPDR.
